#name, std_insert, std_index, adj_insert, ekey_insert, ekey_index
s10,49665,37444,0,0,0
s10,49665,37444,11646,0,0
s10,49665,37444,11646,49231,0
s11,99307,49620,0,0,0
s11,99307,49620,23854,0,0
s11,99307,49620,23854,99898,0
s12,205327,97271,0,0,0
s12,205327,97271,48607,0,0
s12,205327,97271,48607,198945,0
s13,417088,187876,0,0,0
s13,417088,187876,97737,0,0
s13,417088,187876,97737,397393,0
s14,862362,351891,0,0,0
s14,862362,351891,208101,0,0
s14,862362,351891,208101,810475,0
s15,1664234,717457,0,0,0
s15,1664234,717457,434016,0,0
s15,1664234,717457,434016,1885310,0
s16,3402751,1691878,0,0,0
s16,3402751,1691878,816242,0,0
s16,3402751,1691878,816242,4322898,0
s17,6927019,3853629,0,0,0
s17,6927019,3853629,1839658,0,0
s17,6927019,3853629,1839658,14319721,0
s18,14311424,14052695,0,0,0
s18,14311424,14052695,3650322,0,0
s18,14311424,14052695,3650322,39164144,0
s19,34438773,103260600,0,0,0
s19,34438773,103260600,7144951,0,0
s19,34438773,103260600,7144951,105466926,0
s20,84278413,232634750,0,0,0
s20,84278413,232634750,15949191,0,0
s20,84278413,232634750,15949191,228159968,0
s10,25380,31532,0,0,0
s10,25380,31532,11776,0,0
s10,25380,31532,11776,10596,0
s11,47019,49638,0,0,0
s11,47019,49638,24342,0,0
s11,47019,49638,24342,20941,0
s10,25403,29269,0,0,0
s10,25403,29269,11884,0,0
s10,25403,29269,11884,11290,0
s11,46546,47754,0,0,0
s11,46546,47754,24042,0,0
s11,46546,47754,24042,22152,0
s12,93025,92026,0,0,0
s12,93025,92026,51984,0,0
s12,93025,92026,51984,45725,0
s13,186160,157500,0,0,0
s13,186160,157500,102757,0,0
s13,186160,157500,102757,87635,0
s14,373522,355112,0,0,0
s14,373522,355112,228420,0,0
s14,373522,355112,228420,189015,0
s15,739855,692881,0,0,0
s15,739855,692881,453109,0,0
s15,739855,692881,453109,380672,0
s16,1499951,1826732,0,0,0
s16,1499951,1826732,874171,0,0
s16,1499951,1826732,874171,792988,0
s17,3003114,4206743,0,0,0
s17,3003114,4206743,1918848,0,0
s17,3003114,4206743,1918848,1674141,0
s18,5951096,9141960,0,0,0
s18,5951096,9141960,3754276,0,0
s18,5951096,9141960,3754276,3516700,0
s19,12116079,79815305,0,0,0
s19,12116079,79815305,7507424,0,0
s19,12116079,79815305,7507424,6829958,0
s20,23935275,254611198,0,0,0
s20,23935275,254611198,16663278,0,0
s20,23935275,254611198,16663278,14024896,0
s10,18924,31237,0,0,0
s10,18924,31237,42651,0,0
s10,18924,31237,42651,11644,0
s11,35550,51047,0,0,0
s11,35550,51047,72295,0,0
s11,35550,51047,72295,22445,0
s12,70656,95003,0,0,0
s12,70656,95003,91161,0,0
s12,70656,95003,91161,48547,0
s13,142890,157111,0,0,0
s13,142890,157111,182338,0,0
s13,142890,157111,182338,126560,0
s14,291745,355607,0,0,0
s14,291745,355607,401388,0,0
s14,291745,355607,401388,208090,0
s15,596111,696146,0,0,0
s15,596111,696146,849923,0,0
s15,596111,696146,849923,435436,0
s16,1187660,1394569,0,0,0
s16,1187660,1394569,1703492,0,0
s16,1187660,1394569,1703492,880261,0
s17,2393273,4228690,0,0,0
s17,2393273,4228690,3744024,0,0
s17,2393273,4228690,3744024,1950883,0
s18,4927793,8585428,0,0,0
s18,4927793,8585428,8128872,0,0
s18,4927793,8585428,8128872,4272726,0
s19,9890210,59789908,0,0,0
s19,9890210,59789908,17788762,0,0
s19,9890210,59789908,17788762,8408632,0
s20,20344568,225506457,0,0,0
s20,20344568,225506457,41733913,0,0
s20,20344568,225506457,41733913,17111108,0
s10,18932,33087,0,0,0
s10,18932,33087,33220,0,0
s10,18932,33087,33220,11206,0
s11,38697,47402,0,0,0
s11,38697,47402,57240,0,0
s11,38697,47402,57240,22833,0
s12,71511,92805,0,0,0
s10,19824,32328,0,0,0
s10,19824,32328,19746,0,0
s10,19824,32328,19746,11781,0
s11,35728,53335,0,0,0
s11,35728,53335,41876,0,0
s11,35728,53335,41876,23431,0
s12,70629,100759,0,0,0
s12,70629,100759,93734,0,0
s12,70629,100759,93734,50852,0
s13,143455,195120,0,0,0
s13,143455,195120,184089,0,0
s13,143455,195120,184089,114047,0
s14,284851,412413,0,0,0
s14,284851,412413,415197,0,0
s14,284851,412413,415197,224816,0
s15,607903,762925,0,0,0
s15,607903,762925,843516,0,0
s15,607903,762925,843516,450221,0
s16,1197280,1817725,0,0,0
s16,1197280,1817725,1759695,0,0
s16,1197280,1817725,1759695,929651,0
s10,18427,34020,0,0,0
s10,18427,34020,43939,0,0
s10,18427,34020,43939,11733,0
s11,66756,49678,0,0,0
s11,66756,49678,45905,0,0
s11,66756,49678,45905,59825,0
s10,18544,31199,0,0,0
s10,18544,31199,20033,0,0
s10,18544,31199,20033,11719,0
s10,19086,32938,0,0,0
s10,19590,31656,0,0,0
s10,19590,31656,21140,0,0
s10,19590,31656,21140,11810,0
